Year,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,rice_price,wheat_price,maize_price,ChickPea_price
2000,23.38,82.63,91.5,31.23,68.14,7.67,555.57,132.31,208.99,31.72,258.42
2000,98.72,78.73,14.93,24.77,63.74,8.23,1389.16,174.42,256.01,163,342.58
2000,37.14,76.32,41.36,24.46,77.74,8.08,1099.15,482.22,297.32,144.59,368.88
2000,42.88,66.17,95.92,17.1,85.74,6.96,1037.35,304.41,204.11,194.31,169
2000,8.52,50.78,98.84,22.35,85.14,8.23,1206.31,242.97,220.89,31.26,352.25
2000,64.1,7.91,48.63,11.55,75.61,7.13,355.16,450.59,271.84,62.56,309.29
2000,27.39,59.73,23.78,21.86,54.46,7.33,1446.88,226.66,191.63,141.79,292.54
2000,98.84,80.74,23.6,19.07,62.13,5.66,374.97,135.01,277.56,94.64,128.06
2000,23.92,62.86,40.76,25.76,76.81,5.65,1763.82,332.36,209.85,35.95,239.91
2000,57.03,27.79,60.3,20.53,78.29,7.18,1980,264.2,241.13,153.3,130.63
2000,46.19,24.18,1.82,28.84,42.45,8.1,1697.32,374.29,105.94,108.14,291.62
2000,91.86,78.85,76.65,21.01,36.08,6.74,564.89,155.45,63.16,174.27,146.43
2000,93.15,87.61,59.54,25.73,56.52,6.65,1426.36,488.67,105.24,158.65,306.83
2000,61,23.32,73.68,18.77,48.89,6.7,1839.87,106.73,102.22,115.39,341.9
2000,20.85,45.88,52.25,14.3,35.93,6.18,517.51,106.87,56.63,137.71,143.27
2000,52.15,44.31,46.06,34.12,65.21,6.34,497.69,459.37,67.05,89.76,219.54
2000,70.68,9.53,65.09,32.2,61.99,6.61,1402.8,208.22,237.68,137.73,316.71
2000,67.06,97.21,12.21,31.56,58.09,8.17,1039.77,101.68,96.31,42.26,233.94
2000,38.57,15.3,92.23,34.82,87.64,6.4,788.12,470.42,167.42,137.49,251.58
2000,57.65,55.64,12.18,23.27,39.51,7.29,443.06,168.54,109.94,108.35,199.12
2000,59.31,4.4,86.99,24.03,54.48,8.29,830.05,306.84,257.81,77.37,340.89
2000,42.43,33.04,7.29,18.31,51.48,6.24,1348.36,473.34,164.51,133.18,211.51
2000,45.31,26.67,98.84,18.23,32.93,7,809.76,451.3,53.42,44.84,102.2
2000,59.1,36.65,42.4,32.72,36.7,8.38,230.54,137.89,210.07,68.59,383.32
2000,16.6,8.74,22.7,29.02,38.01,6.21,924.82,179.44,161.12,116.64,384.32
2000,31.29,36.28,11.15,21.43,56.76,8.01,1839.6,403.42,122.52,82.66,122.79
2000,60.33,47.29,47.11,14.13,35.52,8.49,542.88,200.35,290.25,149.12,229.53
2000,15.39,10.94,64.18,28.48,80.97,6.93,538.15,302.37,268.61,145.92,345.39
2000,54,29.34,13.02,15.61,49.87,8.34,871.65,398.71,206.2,89.06,63.73
2000,93.01,44.64,76.92,29.36,84.88,7.99,784.62,247.98,50.85,100.87,392.97
2000,87.11,46.91,70.01,18.05,35.25,5.91,386.7,154.57,244.39,149.61,142.73
2000,62.53,79.69,69.48,15.85,63.86,6.27,904.93,336.66,299.51,49.93,297.97
2000,23.15,6.59,87.64,15.58,48.96,8.36,911.73,203.91,197.58,110.83,171.29
2000,37.21,35.57,50.6,30.73,80.34,7.25,1993.12,212.18,84.71,184.98,274.53
2000,78.89,72.94,91.55,11.57,59.42,5.76,935.69,368.68,287.97,118.44,94.99
2000,52.17,11.01,81.27,33.5,74,7.33,1079.57,260.81,91.94,163.48,315.52
2000,55.67,14.33,19.77,17.5,67.35,7.37,585.43,157.5,205.49,129.71,341.54
2000,77.45,79.55,44.05,24.2,79.52,7.66,564.44,410.33,58.58,169.68,168.54
2000,60.51,67.65,89.8,33.71,51.52,7.75,750.53,474.1,216.29,61.81,93.18
2000,24.01,43.85,84.34,24.13,44.97,7.67,303.84,169.67,62.86,101.93,111.72
2000,21.18,35.37,53.49,30.01,86.06,6.32,1798.47,153.95,228.72,89.34,201.32
2000,7.58,27.54,68.23,22.1,41.77,6.53,1641.79,154.54,88.74,70.1,93.26
2000,85.28,67.16,35.98,25.27,46.65,5.84,860.78,496.54,81.02,32.03,105.31
2000,76.44,25.24,50.21,12.62,37.99,7.89,1917.33,341.83,157.08,79.43,166.77
2000,96.4,52.08,59.41,11.8,32.81,6.17,746.41,443.3,281.51,56.36,164.47
2000,26.19,51.56,9.06,14.18,59.68,5.92,441.48,404.63,170.63,123.78,101.09
2000,27.03,49.67,16.48,31.33,30.16,6.27,900.82,166.39,225.04,131.62,391.3
2000,64.42,21.87,83.96,31.81,34.65,8.26,470.48,127.22,130.21,44.52,318.5
2000,67.74,5.39,93.31,18.55,37.21,7.99,946.98,496.02,284.41,169,143.82
2000,78.68,18.82,42.32,32.82,57.22,7.82,314.49,398.97,101.75,46.69,134.97
2000,12.16,85.77,37.49,25.02,68.71,5.8,1872.11,200.85,240.32,74.41,331.24
2000,48.35,51.45,45.33,21.16,46.22,7.05,399.56,251.65,262.95,163.5,319.06
2000,5.07,78.77,61.66,13.66,67.44,6.74,264.11,212.04,163.04,119.74,69.58
2000,54.31,9.45,26.97,25.3,83.59,8.41,222.08,374.67,243.2,103.26,381.08
2000,19.56,10.54,67.79,25.21,67.91,5.88,556.34,444.4,82.34,77.19,199.79
2000,21.3,52.53,32.83,28.91,69.37,7.08,1142.48,289.93,269.46,79.77,123.12
2000,59.45,75.41,65.37,32.89,81.58,6.49,699.83,169.84,51.97,118.36,243.22
2000,62.45,23.58,21.09,22.52,41.79,5.82,1001.8,296.8,196.65,134.02,120.09
2000,54.86,55.26,42.23,13.8,86.46,7.46,816.63,149.74,114.43,158.28,264.68
2000,46.05,29.43,17.25,16.99,54.06,7.94,333.12,443.59,277.42,85.27,76.72
2000,50.36,54.09,63.17,19.91,88.67,6.47,709.77,265.55,204.68,198.58,91.4
2000,55.89,14.95,4.46,18.56,36.93,8.09,680.05,478.71,297.99,99.38,162.24
2000,46.88,66.19,29.51,15.82,55.23,8.01,1983.51,120.98,129.68,143.68,398.5
2000,92.37,46.92,55.86,21.11,36.44,7.5,1674.36,116.1,65.84,192.58,267.98
2000,77.25,8.9,26.28,14.97,65.76,7.35,423.77,146.33,94.94,184.78,353.49
2001,81.97,49.63,32.42,17.04,66.28,7.49,1138.02,145.18,108.46,131.15,133.62
2001,84.16,5.39,48.79,17.77,45.33,6.14,1542.89,240.62,265.57,51.39,313.25
2001,28.7,9.36,75.54,24.74,49.66,7.17,244.91,176.13,246.65,156.02,388.96
2001,86.45,35.05,98.33,13.36,78.18,7.2,404.43,469.43,231.36,58.71,292.54
2001,46.25,46.6,21.03,14.83,78.29,6.96,979.05,131.61,125.74,166.63,203.52
2001,45.55,8.16,2.93,22.7,81.74,5.64,1799.05,275.17,190.54,116.5,334.73
2001,96.25,89.97,5.57,11.52,87.22,7.36,312.97,478.82,141.92,164.02,138.61
2001,67.92,62.87,8.1,15.17,74.56,7.58,1232.37,343.6,223.69,122.62,220.59
2001,10.17,28.02,26.98,10.4,80.81,5.95,382.85,146.29,223.29,122.04,362.4
2001,5.58,67.98,34.96,11.7,41.58,6.48,1445.26,258.53,98.02,169.07,302.05
2001,78.38,38.15,82.93,33.44,71.37,7.87,906.46,375.74,257.04,100.79,145.62
2001,60.44,74.04,66.28,24.15,51.9,5.62,927.17,229.65,283.08,199.43,101.56
2001,83.56,58.91,86.86,18.31,39.97,7.49,1556.38,408.43,152.43,85.89,191.14
2001,70.9,56.67,19.94,15.48,42.88,7.63,1552.98,120.91,197.28,142.09,384.66
2001,95.29,10.35,61.45,18.5,67.98,6.73,1045.58,196.98,276.12,92.66,238.91
2001,57.24,70.83,66.38,32.03,41.3,6.64,1343.94,154.27,128.5,129.66,228.12
2001,37.67,36.49,43.11,15.16,72.48,6.4,1702.94,109.38,174.79,108.72,259.32
2001,25.01,48.29,97.17,26.26,64.73,5.92,1337.45,450.01,257,79.28,239.1
2001,3.18,6.13,2.35,23.26,50.58,5.73,473.44,219.26,228.3,98.04,359.8
2001,74.33,95.61,98.3,17.5,79.68,6.98,496.14,182.21,155.83,147.99,155.36
2001,18.75,70.76,95.24,22.94,31.88,6.24,1605.11,392.29,180.31,132.49,88.67
2001,14.9,33,87.88,15.39,60.09,8.12,1513.91,115.51,60.29,184.72,162.91
2001,29.96,49.78,55.76,10.92,53.46,5.74,1483.3,284.64,252.87,58.62,277.19
2001,78.16,52.77,60.58,15.12,38.36,5.77,586.61,355.98,210.25,79.79,119.01
2001,71.69,82.82,71.4,14.73,53.64,8.09,1917.3,236.67,222.37,57.04,292.77
2001,92.33,36.5,49.1,11.39,50.82,6.84,507.35,477.78,131.44,145.89,238.42
2001,87.06,18.61,50.63,16.06,33.42,6.87,767.58,125.67,126.53,52.71,246.69
2001,77.57,89.82,1.64,31.48,85.54,5.69,1051.3,214.87,277.24,60.99,202.23
2001,6.19,96.11,58.26,20.75,72.24,8.46,592.19,185.55,105.81,98,135.34
2001,2.31,73.5,68.12,33.46,63.25,8.2,727.77,117.31,116.01,103.54,305.23
2001,36.11,20.24,16.87,26.64,57.38,8.05,1533.86,386.64,268.89,113.41,308.04
2001,61.02,68.61,85.99,19.83,59.82,6.81,1677.68,354.87,252.3,71.59,395.67
2001,15.53,73.92,46.76,17.69,46.66,6.23,1574.6,169.5,164.87,186.34,155.82
2001,47.53,63.17,34.64,33.99,78.73,8.48,1994.14,377.76,225.38,41.63,187.73
2001,93.81,10.07,81.65,27.52,50.82,5.96,1349.51,235.24,196.79,80.79,96.6
2001,56.82,62.3,72.11,33.92,67.1,7.59,1262.51,290.12,132.66,125.24,335.32
2001,35.74,42.52,77.19,18.99,89.62,6.96,723.88,439.41,143.02,66.23,81.69
2001,52.17,58.54,10.93,16.73,89.05,7.97,1027.55,112.75,155.86,126.26,195.4
2001,18.64,47.09,81.24,24.06,77.88,8.41,988.05,328.08,81.67,96.29,276.95
2001,41.21,89.2,8.29,32.7,64.11,6.36,816.59,380.64,250.86,43.23,201.2
2001,88.65,15.86,40.39,11.92,86.81,6.66,451.15,166.55,276.65,193.88,356.07
2001,21.27,28.67,63.37,16.26,86.22,7.7,1951.98,193.78,291.7,56.12,192.73
2001,44,25.53,11.63,19.1,50.59,6.97,865.28,246.57,213.42,187.15,347.26
2001,99.27,38.51,59.3,20.08,34.26,7.92,1013.47,343.52,231.46,71.74,384.4
2001,61.2,76.31,96.02,20.36,35.27,7.72,949.03,132.68,57.58,55.13,213.65
2001,84.43,37.17,65.28,28.95,63.18,6.43,266.59,360.12,62.65,115.98,222.29
2001,12.95,84.88,44.9,15.32,74.85,6.17,345.8,166.7,204.85,32.14,317.33
2001,25.71,31.61,6.7,12.69,82.61,5.94,1428.1,383.32,228.9,144.32,232.5
2001,9.66,15.17,24.27,20.68,36.94,7.26,1403.58,157.24,246.86,144.28,248.34
2001,13.19,27.27,87.95,34.31,70.14,7.05,1412.46,364.8,191.48,145.96,103.63
2001,91.86,74.93,27.88,21.7,38.42,8.14,1504.67,372.61,75.8,95.72,99.54
2001,69.51,97.1,47.6,30.19,69.44,6.98,1663.98,465.34,203.13,54.16,328.87
2001,41,61.64,28.09,15.51,34.75,8.48,1369.78,385.26,101.2,43.61,360.64
2001,31.02,66.97,20.55,24.64,55.89,8.39,1455.11,202.42,133.86,146.13,165.01
2001,6.78,57.45,46.6,32.96,82.46,7.23,817.1,487.14,113.18,87.63,123.54
2001,53.2,18.24,6.35,33.69,66.96,6.96,1430.27,415.72,275.31,155.56,166.43
2001,95.24,43.2,52.6,17.74,44.13,5.56,610.24,219.72,295.75,89.99,204.56
2001,2.44,23.99,22.68,28.34,83.4,5.96,1073.73,480.16,117.96,77.94,340.61
2001,13.09,49.39,97.6,24.44,57.7,6.68,1728.55,105.29,225.87,64.8,317.16
2001,32.17,91.27,49.66,25.23,39.02,8.06,1252.65,146.14,76.58,37.68,346.5
2001,68.14,16.11,29.66,24.15,58.82,6.15,607.3,426.31,211.64,174.76,216.96
2001,69.36,15.78,81.22,10.39,66.77,5.79,223.37,243.34,119.53,65.74,372.08
2001,69.15,0.03,17.87,33.29,67.05,5.87,1457.3,180.27,220.67,46.46,187.37
2001,21.03,39.61,29.83,23.4,36.02,6.2,742.7,365.88,242.17,151.37,282.29
2001,65.89,9.17,30.13,15.17,80.74,7.49,275.86,227.97,82.84,66.03,119.22
2001,4,83.17,48.79,11.58,55.52,6.6,843.65,288.35,207.24,134.36,381.98
2001,75.14,35.35,56.26,32.68,72.36,7.44,1957.42,142.13,123.35,183.98,399.43
2001,98.41,38.5,7.8,25.25,53.94,6.31,1559.6,471.43,269.57,108.22,254.74
2001,66.04,50.24,11.16,10.38,30.2,7.48,1846.42,147.26,231.46,179.46,287.85
2001,21.41,84.39,92.47,10.06,58.58,8.4,1562.96,243.8,166.31,146.81,113.25
2001,94.71,75.4,28.64,25.07,33.42,7.29,1789.74,417.13,95.67,165.27,168.63
2001,2.08,8.21,79.49,28.04,35.61,7.27,1494.85,175.94,129.39,175.69,368.1
2001,99.03,86.68,84.89,26.91,58.82,6.92,1057.78,371.66,80.18,140.28,80.5
2001,73.74,34.41,83.07,15.36,51.53,7.43,1134.24,309.14,160.11,129.49,340.66
2001,16.69,19.57,82.82,12.87,41.26,5.95,460.17,134.04,185.34,89.9,241.14
2001,94.46,46.69,91.34,18.07,85.42,8.1,448.28,259.49,150.88,61.28,213.06
2001,8.24,98,31.87,34.37,38.65,6.83,474.64,413.25,147.85,153.49,162.76
2001,70.98,64.69,65.26,31.83,46.45,8.11,1816.37,177.34,251.15,91.2,210.65
2001,25.57,49.45,62,13.8,40.52,6.65,1982.48,399.26,100.18,175.23,202.81
2001,6.72,17.95,40.47,16.63,73.9,6.5,1762.23,120.12,111.01,39.03,91.05
2001,19.69,53.97,95.11,24.75,71.22,5.8,392.58,103.98,218.23,69.58,235.34
2001,9.53,99.33,24.28,27.08,41.23,6.91,1453.27,264.38,76.53,48.94,86.73
2001,84.15,4.09,87.12,29.9,55.15,7.14,1503.49,442.21,247.32,96.48,300.22
2001,62.21,57.94,55.5,33.68,43.11,5.63,934.27,449.92,215.58,130.09,264.1
2001,5.46,79.81,20.15,21.09,85.58,7.67,1799.44,158.99,274.77,126.76,200
2001,18.46,89.78,26.63,17.91,58.88,7.37,313.09,132.04,204.23,37.77,318.33
2001,86.95,4.81,81.08,11.16,33,7.19,938.01,468.16,69.91,34.53,390.66
2001,39.64,65.14,85,17.59,56.25,8.03,912.15,466.04,275.23,135.11,242.19
2001,38.51,3.05,24.22,25.24,66.65,8.32,944.76,276.05,51.71,138.86,289.76
2001,40.17,82.32,52.55,16.81,72.19,8.15,1715.82,287.37,124.18,158.2,76.91
2001,83.19,65.7,73.39,26.28,34.64,5.96,1633.07,124.99,164.65,101.51,119.98
2001,40.36,53.41,25.38,10.4,37.23,5.7,956.29,463.59,298,164.72,352.68
2001,87.73,86.11,94.46,19.08,63.93,8.23,1209.77,215.1,286.25,110.99,364.93
2001,69.01,28.83,87.14,16.71,55.85,6.7,1310.1,190.17,195.84,192.65,338
2001,54.08,33.46,80.17,11.4,85.63,5.63,341.3,155.22,273.58,132.45,383.05
2001,48.4,65.2,58.87,15.48,30.95,6.05,505.32,264.74,94.29,57.13,227.5
2002,60.48,88.43,59.47,12.47,67.48,7.76,1131.58,236.86,206.37,163.07,149.23
2002,74.06,63.46,0.42,15.42,81.51,8.48,625.9,416.82,106.86,173.7,200.37
2002,53.8,31.44,94.66,13.85,73.75,6.93,828.15,319.47,84.06,152.43,220.37
2002,89.14,93.88,42.9,30.65,75.19,7.56,561,453.58,179.88,87.61,61.51
2002,99.88,74.27,38.84,16.1,44.94,7.33,670.86,499.01,139.49,186.29,182.29
2002,43.12,24.38,60.07,14.16,72.47,6.6,767.27,327.57,135.64,81.32,234.6
2002,75.51,3.44,3.9,16.4,63.18,6.98,1095.11,270.31,190.94,121.72,339.58
2002,29.72,2.06,99.47,25.07,47.04,8.39,1536.85,128.68,226.6,94.85,251.08
2002,5.86,71.56,46.47,22.93,57.43,6.03,782.34,244.1,296.99,147.63,158.95
2002,4.58,39.96,36.61,30.08,64.15,6.32,1423.49,474.57,106.33,89.17,67.3
2002,64.64,76.73,99.77,33.59,57.47,6.33,403.91,295.21,233.49,158.77,387.99
2002,22.2,42.22,98.53,21.89,87.73,6.76,1307.92,167.47,100.33,109.09,153.73
2002,12.05,66.99,56.35,30.01,79.05,7.53,1985.76,201.79,77.02,68.11,82.12
2002,99.41,22.09,45.62,29.04,48.35,7.76,716.19,107.43,125.13,161.82,144.62
2002,55.75,41.24,96.23,31.81,41.37,7.4,642,470.25,86.1,171.49,89.96
2002,96.48,28.77,14.65,27.02,62.69,5.54,278.8,130.5,73.85,55.22,154.57
2002,67.84,27.6,88.8,31.64,84.68,7.14,1299.55,456.66,178.29,33.86,216.23
2002,31.76,69.42,18.04,34.83,33.13,6.46,662.63,387.21,176.36,173.8,319.21
2002,46.5,48.87,54.08,28.19,57.56,8.49,643.6,135.01,204.09,57.59,87.17
2002,56.41,11.93,0.49,13.65,64.85,6.01,1966.17,257.85,258.64,82.08,318.37
2002,65.09,66.75,20.95,32.28,62.82,8.16,704.97,290.3,122.49,55.94,128.04
2002,73.6,80.18,76.07,29.49,66.92,5.94,204.16,467.87,82.4,173.91,306.01
2002,73.83,46.26,2.58,25.83,46.85,8.02,389.89,481.82,262.67,190.89,319.88
2002,90.82,24.29,34.85,26.17,70.69,6.96,1360.33,294,210.41,95.15,244.37
2002,57.26,31.94,15.47,24.75,54.38,7.51,1839.03,407.48,68.25,86.05,84.27
2002,8.2,29.54,59.94,16.06,77.94,7.16,1579.67,431.86,98.52,199.28,190.1
2002,34.38,13.59,10.79,28.61,43.1,6.45,520.51,350.65,286.25,106,273.61
2002,3.42,43.17,5.79,22.34,38.15,6.92,1150.44,477.98,285.3,130,81.73
2002,13.31,87.87,4.26,26.86,77.95,5.55,1094.77,418.79,218.15,32.27,296.26
2002,4.5,68.97,80.24,24.17,66.15,5.99,1779.64,390.43,86.55,107.26,380.36
2002,68.34,7.32,28.45,26.69,84.35,7.96,1158.71,314.78,293.54,137.37,123.98
2002,62.5,10.63,10.45,31.71,57.15,5.57,1776.15,354.84,108.91,179.84,304.37
2002,44.96,17.42,32.75,14.36,75.85,6.56,1677.36,271.26,280.01,185.06,106.64
2002,97.19,2.57,9.25,22.91,40.45,7.04,1311.96,237.5,103.57,122.01,303.98
2002,33.25,38.39,6.88,19.22,34.48,5.66,224.32,242.04,200.56,55.08,116.67
2002,1.07,90.3,94.64,33.65,33.83,6.47,470.04,310.37,217.88,191.35,341.12
2002,13.95,8.93,85.67,30.83,74.55,8.25,1923.31,325.26,139.59,156.16,334.82
2002,76.86,76.62,96.6,25.2,84.09,7.75,1024.59,371.07,152.13,85.81,206.73
2002,80.07,73.85,73.8,28.31,43.14,7.67,1117.61,264.46,173.61,63.95,141.34
2002,84.82,78.71,57.36,13.59,59.29,6.45,624.52,237.55,235.14,131.89,221.78
2002,43.65,14.95,11.68,22.69,35.71,8.49,1145.09,235.83,84.6,172.7,387.8
2002,50.12,99.38,70.85,25.36,46.21,7.48,259.98,230.19,117.43,66.21,78.15
2002,19.23,69.96,47.06,10.44,38.26,6.08,1124.85,489.49,59.37,47.54,140.24
2002,87.59,59.64,99.12,15.35,35.34,7.46,1100.28,407.47,135.15,140.22,133.05
2002,72.92,58.76,61.8,34.01,66.56,7.99,461.41,196.93,165.1,153.38,330.85
2002,67.87,8.23,86.14,10.77,60.76,7.67,417.45,355.36,84.94,149.2,121.11
2002,52.01,46.94,43.01,16.96,67.98,7.06,1066.87,337.18,151.45,152.58,221.04
2002,93.85,97.35,14.06,25.07,73.81,6.13,969.05,260.25,294.76,69,248.96
2002,64.33,36.04,62.15,16.75,41.82,5.91,666.08,294.73,85.22,109.78,350.47
2002,70.57,77.16,20.67,34.42,53.86,6.58,1112.53,258.71,125.36,133.06,147.02
2002,85.51,30.78,35.1,25.88,86.2,6.03,508.01,267.39,268.6,35.47,147.45
2002,21.88,76.58,26.17,26.2,45.56,6.71,499.95,140.8,70.19,60.67,80.49
2002,21.84,2.38,93.75,33.47,80.38,6.69,439.33,404.46,205.41,127.9,367.15
2002,73.14,46.61,1.58,23.69,51.23,6.66,905.78,197.53,86.77,151.31,334.89
2002,51.23,73.37,60.06,19.3,30.02,5.76,1004.31,353.15,190.15,115.52,244
2002,28.1,79.15,37.38,12.21,60.17,7.22,1795.89,149.05,185.09,171.33,301.24
2002,31.17,30,58.77,21.37,57.9,6.61,593.16,207.24,188.32,159.99,272.79
2002,44.57,80.58,90.55,26.79,82.45,7.7,1352.41,334.49,139.16,132.21,250.69
2002,79.8,43.59,44.65,25.11,38.76,8.29,501.45,261.49,298,132.73,191.06
2002,84.4,97.21,93.26,16.25,80.25,6.08,224.02,102.19,123.92,156.03,180.93
2002,53.9,35.08,19.61,21.57,58.76,6.41,1104.39,451.32,179.37,118.34,90.05
2002,52.52,8.78,87.75,15.34,54.83,6.26,1676.11,406.02,64.69,62.84,86.12
2002,5.44,26.14,65.83,28.49,67.61,7.96,537.14,261.32,104.59,39.27,134.76
2002,29.02,32.01,70.12,28.09,36.65,7.21,613.39,352.94,102.73,170.51,296.73
2002,43.74,7.15,69.21,11.97,34.92,8.13,1325.3,404.15,180.73,154,137.76
2002,1.39,77.29,20.53,21.57,39.06,7.19,1689.27,157.72,117.62,154.71,165.53
2002,23.53,79.37,30.42,34.28,58.8,7.91,833.1,265.94,69.61,109.39,65.7
2002,8.22,99.24,0.37,23.5,64.14,7.17,1304.39,461.45,154.67,171.26,272.31
2002,11.14,52.49,52.99,21.89,32.65,7.74,1303.3,169.83,148.91,116.3,233.52
2002,68.03,12.59,61.45,18.93,72.01,5.97,731.22,155.15,136.27,79.9,145.99
2002,67.13,33.39,71.76,13.41,81.66,6.95,1193.04,140.84,163.5,102.43,173.58
2002,83.9,58.11,13.84,25.48,76.91,8.19,255.16,151.95,262.92,98.53,132.67
2002,53.03,56.56,72.25,13.13,56.4,6.13,1888.08,404.95,298.79,182.4,214.14
2002,9.66,37.99,12.54,34.29,79.8,7.64,1297.77,221.58,188.62,173.97,326.59
2002,60.52,88.86,7.31,12.81,33.61,7.2,1392.42,315.26,212.61,58,382.68
2002,1.67,95.27,70.82,31.28,77.7,5.6,1367.14,461.47,93.02,60.3,282.64
2002,23.65,95.31,50.4,15.76,57.83,6.69,709.05,174.35,189.94,79.34,251.64
2002,18.29,52.39,33.25,23.14,58.3,6.54,1715.3,281.32,251.74,110.2,385.27
2002,62.83,34.72,78.79,26.48,72.4,6.91,1518.76,170.77,257.24,162.09,69.96
2002,15.51,65.25,93.04,28.99,61.33,5.96,1652.02,175.1,122.8,81.86,234.5
2002,83.03,49.52,86.16,27.47,42.02,8.27,1562.95,459.99,221.81,98.03,101.15
2002,45.83,81,89.56,28.17,75.3,7.72,504.71,105.76,75.72,160.74,264.9
2002,10.51,74.04,24.39,24.72,37.52,7.26,893.85,221,195.12,89.98,397.54
2002,65.89,8.64,62.76,14.76,53.42,8.41,1387.2,323.02,236.9,86.07,202.92
2002,96.7,92,27.89,31.16,76.62,6.97,1769.1,418.59,202.3,166.23,365.93
2002,78.63,37.14,13.25,17.43,82.61,8.23,1150.4,180.67,245.72,63.07,192.86
2002,68.93,41.79,60.72,28.71,55.58,8.49,1708.1,434.73,85.15,131.38,204.91
2002,48.59,97.76,4.29,16.75,78.4,6.74,882.93,325.89,291.19,73.92,302.57
2002,29.11,25.6,15.39,33.61,46.85,5.52,1254.41,288.34,192.56,124.85,81.21
2002,92.69,44.26,89.21,26.36,65.3,6.66,1776.7,342.53,69.41,106.91,160.11
2002,96.16,82.15,82.27,24.37,83.02,7.51,303.47,348.6,295.23,90.33,281.44
2003,15.91,40.13,58.45,21.53,61.85,6.35,1357.68,337.23,229.8,68,99.74
2003,83.88,71.82,70.44,19.28,84.95,6.36,288.11,328.54,253.8,67.66,302.37
2003,20.95,37.65,42.62,17.94,49.59,8.38,532.59,169.96,283.97,179.23,310.55
2003,17.64,4.51,45.43,16.39,56.91,6.74,862.49,235.04,211.68,130.27,109.92
2003,12.35,13.66,85.01,27.19,65.32,6.64,1326.65,171.67,226.91,100.1,178.25
2003,4.42,42.2,64.31,22.09,54.82,8.23,1121.32,233.09,86.64,178.21,338.39
2003,64.61,44.86,61.25,22.6,32.4,7.74,1070.4,461.5,292.08,116.04,82.65
2003,95.23,60.41,80.48,19.82,39.8,5.96,453.61,317.42,129.19,136.94,235.67
2003,56.59,76.96,2.43,22.37,81.22,8.48,1051.24,132.51,199.2,127.58,197.12
2003,88.38,80.67,50.12,14.83,32.53,8.2,1025.48,366.42,265.29,191.16,380.55
2003,43.26,94.69,55.11,30.28,83.7,7.98,1811.06,347.06,279.03,132.26,252.28
2003,90.43,49.94,18.76,31.53,66.23,8.03,350.48,459.43,125.54,137.77,67.21
